smiles,RS_as_01
CCN1CCC[C@@H]1CNC(=O)C1=C(OC)C=CC(=C1)S(N)(=O)=O,0
CC[C@H](C)COC(=O)\C=C\C1=CC=C(C=C1)\N=C\C1=CC=C(OC)C=C1,1
CC[C@@H](C)COC(=O)\C=C\C1=CC=C(C=C1)\N=C\C1=CC=C(OC)C=C1,0
C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,1
C[C@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,0
CCO[C@H](CC1=CC=C(OCCC2=CC=C(OS(C)(=O)=O)C=C2)C=C1)C(O)=O,0
CCO[C@@H](CC1=CC=C(OCCC2=CC=C(OS(C)(=O)=O)C=C2)C=C1)C(O)=O,1
CN1CCC[C@@H]1C1=CN=CC=C1,0
CN1CCC[C@H]1C1=CN=CC=C1,1
COC1=CC2=CC=C(C=C2C=C1)[C@H](C)CO,1
COC1=CC2=CC=C(C=C2C=C1)[C@@H](C)CO,0
CN(C)C(=O)NC1(CCN(CCC[C@]2(CCCN(C2)C(=O)C2=CC=CC=C2)C2=CC(Cl)=C(Cl)C=C2)CC1)C1=CC=CC=C1,1
CN(C)C(=O)NC1(CCN(CCC[C@@]2(CCCN(C2)C(=O)C2=CC=CC=C2)C2=CC(Cl)=C(Cl)C=C2)CC1)C1=CC=CC=C1,0
CC(C)CC1=CC=C(C=C1)[C@@H](C)C(=O)NS(C)(=O)=O,0
CC(C)CC1=CC=C(C=C1)[C@H](C)C(=O)NS(C)(=O)=O,1
CC(C)(C)NC[C@H](O)COC1=NSN=C1N1CCOCC1,1
CC(C)(C)NC[C@@H](O)COC1=NSN=C1N1CCOCC1,0
C[C@@](CC1=CC=C(O)C(O)=C1)(NN)C(O)=O,1
C[C@](CC1=CC=C(O)C(O)=C1)(NN)C(O)=O,0
O[C@@H](CO\N=C(/Cl)C1=CC=C[N+]([O-])=C1)CN1CCCCC1,0
O[C@H](CO\N=C(/Cl)C1=CC=C[N+]([O-])=C1)CN1CCCCC1,1
CC[C@@]1(O)C(=O)OCC2=C1C=C1N(CC3=C(\C=N\OC(C)(C)C)C4=CC=CC=C4N=C13)C2=O,1
CC[C@]1(O)C(=O)OCC2=C1C=C1N(CC3=C(\C=N\OC(C)(C)C)C4=CC=CC=C4N=C13)C2=O,0
N[C@@H](CC1=CC(I)=C(O)C(I)=C1)C(O)=O,1
N[C@H](CC1=CC(I)=C(O)C(I)=C1)C(O)=O,0
N[C@H](CO)C(O)=O,0
N[C@@H](CO)C(O)=O,1
CCC(C)[C@@H](N)C(O)=O,0
CCC(C)[C@H](N)C(O)=O,1
C[Se]CC[C@H](N)C(O)=O,1
C[Se]CC[C@@H](N)C(O)=O,0
C[C@@H](CC1=CC=CC=C1)NC(=O)NS(=O)(=O)C1=CC=C(C)C=C1,1
C[C@H](CC1=CC=CC=C1)NC(=O)NS(=O)(=O)C1=CC=C(C)C=C1,0
N[C@H](C(O)=O)C1=CC=C(O)C=C1,1
N[C@@H](C(O)=O)C1=CC=C(O)C=C1,0
CC(C)C[C@@H](N)C(O)=O,0
CC(C)C[C@H](N)C(O)=O,1
